Steps,Avg. Return,WinRate
100000,721.94,0
1000000,37.04,0
1100000,200.99,0
1200000,195.72,0
1300000,188.22,0
1400000,192.84,0
1500000,175.25,0
1600000,1084.01,0
1700000,1221.27,0
1800000,1615.26,0
1900000,1538.36,0
200000,1125.64,0
2000000,1338.97,0
2100000,1683.35,0
2200000,1855.85,0
2300000,1700.55,0
2400000,2051.55,0
2500000,2062.27,0
2600000,1764.41,0
2700000,1867.3,0
2800000,1826.2,0
2900000,1540.89,0
300000,1219.69,0
3000000,2012.42,0
3100000,1996.27,0
3200000,2197.52,0
3300000,2023.94,0
3400000,2095.48,0
3500000,2014.18,0
3600000,2001.18,0
3700000,2092.61,0
3800000,1991.42,0
3900000,2053.54,0
400000,43.69,0
4000000,2134.81,0
4100000,2158.94,0
4200000,2276.49,0
4300000,1945.65,0
4400000,2196.6,0
4500000,1255.86,0
4600000,1655.67,0
4700000,2002.18,0
4800000,2115.35,0
4900000,2158.73,0
500000,180.29,0
5000000,2180.31,0
600000,164.14,0
700000,80.84,0
800000,194.55,0
900000,40.83,0
