Steps,Avg. Return,WinRate
2000000,343.11,0.0
4000000,523.67,0.0
6000000,576.36,0.0
8000000,622.73,0.01
10000000,1152.12,0.27
12000000,1185.77,0.29
14000000,1421.0,0.45
16000000,1820.97,0.78
18000000,1993.98,0.92
20000000,2024.58,0.96
22000000,2060.77,0.98
24000000,2027.12,0.96
26000000,2091.0,1.0
28000000,2091.0,1.0
30000000,2091.0,1.0
32000000,2091.0,1.0
34000000,2080.37,0.99
36000000,2091.0,1.0
38000000,2060.7,0.98
40000000,2075.89,0.99
42000000,2091.0,1.0
44000000,2091.0,1.0
46000000,2091.0,1.0
48000000,2091.0,1.0
50000000,2074.4,0.99
52000000,2091.0,1.0
54000000,2091.0,1.0
56000000,2091.0,1.0
58000000,2091.0,1.0
60000000,2091.0,1.0
62000000,2091.0,1.0
64000000,2090.93,1.0
66000000,2091.0,1.0
68000000,2080.35,0.99
70000000,2080.36,0.99
72000000,2066.28,0.98
74000000,2091.0,1.0
76000000,2091.0,1.0
78000000,2059.86,0.98
80000000,2091.0,1.0
82000000,2075.43,0.99
84000000,2091.0,1.0
86000000,2091.0,1.0
88000000,2091.0,1.0
90000000,2074.39,0.99
92000000,2091.0,1.0
94000000,2074.4,0.99
96000000,2091.0,1.0
98000000,2078.88,0.99
100000000,2091.0,1.0
