Steps,Avg. Return,WinRate
2000000,479.26,0.03
4000000,585.92,0.07
6000000,1156.13,0.35
8000000,1494.74,0.6
10000000,1593.72,0.69
12000000,1714.17,0.75
14000000,1958.66,0.92
16000000,1856.34,0.85
18000000,1971.21,0.93
20000000,1882.56,0.88
22000000,2001.77,0.95
24000000,1952.2,0.92
26000000,2018.57,0.95
28000000,2022.18,0.96
30000000,2047.7,0.97
32000000,1980.05,0.93
34000000,2013.46,0.95
36000000,2052.65,0.98
38000000,2070.79,0.99
40000000,2070.87,0.99
42000000,2060.24,0.98
44000000,2078.24,0.99
46000000,2049.67,0.97
48000000,2070.67,0.99
50000000,2088.75,1.0
52000000,2070.75,0.99
54000000,2049.46,0.97
56000000,2070.84,0.99
58000000,2077.79,0.99
60000000,2070.65,0.99
62000000,2073.82,0.99
64000000,2070.62,0.99
66000000,2060.2,0.98
68000000,2088.58,1.0
70000000,2045.22,0.97
72000000,2060.28,0.98
74000000,2070.79,0.99
76000000,2070.92,0.99
78000000,2088.79,1.0
80000000,2070.91,0.99
82000000,2089.0,1.0
84000000,2063.22,0.98
86000000,2040.7,0.97
88000000,2073.88,0.99
90000000,2089.0,1.0
92000000,2089.0,1.0
94000000,2088.99,1.0
96000000,2076.89,0.99
98000000,2088.94,1.0
100000000,2088.95,1.0
