Steps,Avg. Return,WinRate
2000000,953.0592825,0
4000000,1280.7002763999997,0
6000000,1293.168935299999,0
8000000,1391.093385699999,0
10000000,1569.1778189999989,0
12000000,1611.8980980000001,0
14000000,1570.432001299999,0
16000000,1570.1028343999997,0
18000000,1649.872299,0
20000000,1706.0818529999992,0
22000000,1698.335085,0
24000000,1754.8106389999987,0
26000000,1737.0365819999988,0
28000000,1822.2516559999992,0
30000000,1750.0976450000003,0
32000000,1827.0308860000011,0
34000000,1818.8369060000002,0
36000000,1837.1867670000013,0
38000000,1860.2005370000008,0
40000000,1865.8881210000015,0
