Steps,Avg. Return,WinRate
5000000,1141.19,0.37
10000000,1428.63,0.52
15000000,1530.57,0.59
20000000,1563.86,0.62
25000000,1806.68,0.8
30000000,1778.57,0.77
35000000,1920.96,0.88
40000000,1768.97,0.77
45000000,1924.01,0.89
50000000,1882.63,0.87
55000000,2008.21,0.95
60000000,1886.1,0.85
65000000,1954.56,0.91
70000000,1966.84,0.91
75000000,1942.21,0.89
80000000,1990.64,0.93
85000000,2003.14,0.94
90000000,1967.59,0.91
95000000,1931.42,0.9
100000000,2005.94,0.94
105000000,2010.81,0.94
110000000,2049.68,0.97
115000000,1976.26,0.93
120000000,2026.4,0.95
125000000,2071.37,0.99
130000000,1935.79,0.9
135000000,1909.81,0.88
140000000,1986.88,0.92
145000000,2047.84,0.97
150000000,1935.21,0.89
155000000,2050.42,0.97
160000000,1933.96,0.88
165000000,2054.45,0.97
170000000,1989.43,0.93
175000000,2003.11,0.93
180000000,2007.14,0.94
185000000,2035.13,0.96
190000000,2048.86,0.97
195000000,2003.9,0.94
200000000,2086.36,1.0
