Steps,Avg. Return,WinRate
5000000,236.363,0.001
10000000,321.605,0.012
15000000,353.342,0.013
20000000,389.033,0.02
25000000,483.242,0.04
30000000,522.84,0.056
35000000,517.084,0.051
40000000,519.394,0.054
45000000,568.253,0.072
50000000,571.956,0.076
55000000,584.381,0.075
60000000,582.981,0.069
65000000,589.731,0.074
70000000,615.333,0.079
75000000,593.898,0.081
80000000,648.374,0.095
85000000,644.569,0.102
90000000,631.605,0.085
95000000,627.172,0.083
100000000,650.294,0.095
105000000,712.862,0.126
110000000,664.119,0.107
115000000,692.079,0.111
120000000,740.241,0.119
125000000,718.471,0.115
130000000,721.195,0.125
135000000,732.311,0.133
140000000,736.657,0.122
145000000,734.78,0.116
150000000,767.477,0.133
155000000,784.711,0.147
160000000,790.224,0.156
165000000,810.074,0.147
170000000,777.64,0.144
175000000,793.814,0.142
180000000,809.193,0.162
185000000,835.32,0.173
190000000,893.285,0.189
195000000,808.447,0.153
200000000,855.817,0.181
